league,season_start,season_end,date,status,matchday,home_team,home_team_short,home_team_code,away_team,away_team_short,away_team_code,home_team_score,away_team_score,home_team_halfscore,away_team_halfscore
UEFA Champions League,2021-06-22,2022-05-28,2021-06-22T18:00:00Z,FINISHED,,HB Tórshavn,HB,HB,Inter Club d'Escaldes,Inter Club,INT,0,1,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-06-22T18:00:00Z,FINISHED,,SS Folgore/Falciano,SS Folgore,FOL,FC Prishtina,FC Prishtina,FCP,0,2,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-06-25T18:00:00Z,FINISHED,,FC Prishtina,FC Prishtina,FCP,Inter Club d'Escaldes,Inter Club,INT,2,0,1,0
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T16:00:00Z,FINISHED,1,FC Flora,Flora,FLO,Hibernians FC,Hibernians,HIB,2,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T16:00:00Z,FINISHED,1,Ferencvárosi TC,Ferencváros,FTC,FC Prishtina,FC Prishtina,FCP,3,0,0,0
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T16:00:00Z,FINISHED,1,Helsingin JK,HJK,HJK,FK Budućnost Podgorica,Budućnost,BUD,3,1,3,1
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T17:00:00Z,FINISHED,1,FC CFR 1907 Cluj,CFR Cluj,CLU,FK Borac Banja Luka,Borac BL,BOR,3,1,2,1
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T17:00:00Z,FINISHED,1,FK Žalgiris Vilnius,Žalgiris,ZAL,Linfield FC,Linfield,LIN,3,1,2,0
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T17:30:00Z,FINISHED,1,CS Fola Esch,Fola Esch,FOL,Lincoln Red Imps FC,Lincoln,LIN,2,2,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-07-06T18:00:00Z,FINISHED,1,KF Shkëndija 79,Shkëndija 79,SHK,NŠ Mura,Mura,MUR,0,1,0,1
UEFA Champions League,2021-06-22,2022-05-28,2021-07-07T16:00:00Z,FINISHED,1,FC Dinamo Tbilisi,Dinamo Tbilisi,DIN,Neftçi PFK,Neftçi,NEF,1,2,1,1
UEFA Champions League,2021-06-22,2022-05-28,2021-07-07T16:00:00Z,FINISHED,1,FK Bodø/Glimt,Bodø/Glimt,FK,Legia Warszawa,Legia,LEG,2,3,1,2
